descripcion,precio,stock,imagen,marca,tipo
Taladro Percutor Bosch GSB 20-2 RE 800W,89990,20,https://mundoconstructor.com.pe/wp-content/uploads/2021/07/GSB-20-2-RE-1.jpg,Bosch,Herramientas Eléctricas
Sierra Circular Makita 5007NK 7-1/4,129990,15,https://www.makitatools.com/images/products/5007NK_large.jpg,Makita,Herramientas Eléctricas
Pintura Blanca Sipa Esmalte al Agua 4GL,24990,50,https://pinturasonline.cl/127-large_default/esmalte-al-agua-sipa-opaco-blanco-tineta-4gl.jpg,Sipa,Pinturas
Casco de Seguridad 3M,7990,80,https://www.3m.com.mx/3M/es_MX/p/d/b5005274004/,3M,Seguridad
Guantes de trabajo Stanley,5990,100,https://www.stanleytools.com/products/workspace/protective-workwear/gloves,Stanley,Seguridad
Lentes de Seguridad Transparentes,3990,120,https://www.amazon.com/-/es/seguridad-transparentes-laboratorio-ajustables-protecci%C3%B3n/dp/B07QDLT7FB,Sodimac,Seguridad
Martillo Uña Truper Mango Fibra,8990,75,https://www.truper.com/ficha_tecnica/Martillo-de-una-recta-16-oz-mango-fibra-de-vidrio-3864.html,Truper,Herramientas Manuales
Llave Ajustable 10'' Pretul,5990,60,https://www.elferretero.com.mx/Carrito/Producto.aspx?NumeroProducto=21816,Pretul,Herramientas Manuales
Destornillador Phillips Bosch,2990,150,https://www.amazon.com/-/es/destornillador-Phillips-control-longitud-accesorio/dp/B01N9SMY0B,Bosch,Herramientas Manuales
Taladro Inalámbrico Makita 12V,104990,30,https://www.metalmarchile.cl/1084-large_default/taladro-percutor-inalambrico-makita-12v-max-hp330dwe.jpg,Makita,Herramientas Eléctricas
Caja de Tornillos 100 unidades,6990,200,https://www.homedepot.com.mx/p/hillman-caja-de-100-tornillos-para-madera-de-1-pulgada-plata-40063-501247,Hillman,Tornillos y Fijaciones
Silicona Acética Transparente Sika,3990,90,https://per.sika.com/es/construccion/selladores-juntas/selladores-vidrios-puertas-ventanas/sikasil-ac.html,Sika,Fijaciones y Adhesivos
Cinta Métrica 5m Truper,4990,110,https://www.truper.com/ficha_tecnica/Flexometro-Cinta-Negra-5-m-cinta-19-mm-Truper.html,Truper,Medición
Nivel de Burbuja 40cm Pretul,5990,70,https://www.amazon.com.mx/INGCO-Nivel-burbuja-MR-TOOLS/dp/B089P21YPX,INGCO,Medición
Carretilla Construcción Metal,74990,25,https://gruporoyalpanama.com/product/carretilla-construccion-metalica-6ft/,Royal,Construcción
Pala Punta Cuadrada Truper,9990,40,https://www.truper.com/ficha_tecnica/controllers/index.php?codigo=19710,Truper,Construcción
Cemento Melón 25Kg,5990,100,https://www.melon.cl/productos/cemento-melon/,Melón,Materiales Básicos
Arena de Río Saco 40Kg,3990,90,https://www.sodimac.cl/sodimac-cl/product/1100001/Arena-de-rio-40-kg/1100001,Sodimac,Materiales Básicos
Ladrillo Fiscal Hueco,299,1000,https://www.sodimac.cl/sodimac-cl/product/1100002/Ladrillo-fiscal-hueco/1100002,Bricksa,Materiales Básicos
Barniz Marino Incoloro 1GL,17990,45,https://www.sodimac.cl/sodimac-cl/product/1100003/Barniz-marino-incoloro-1gl/1100003,Sipa,Acabados
